ID,Species,DBH,Height
1,F,7.7,10
2,F,9.7,8.79
3,C,9.9,8.69
4,H,10.2,13.93
5,H,10.8,10.18
6,C,12.4,11.52
7,C,12.8,13.2
8,C,13,10.88
9,F,13,13.2
10,F,13.1,11.31
11,H,13.3,13.75
12,H,13.4,8.5
13,F,13.8,16.06
14,C,14.1,11.22
15,C,14.1,14.9
16,H,14.2,17.43
17,H,14.4,12.68
18,F,14.8,12.34
19,C,14.8,17.45
20,C,15,14.48
21,C,15.1,17.82
22,C,15.3,14.78
23,F,15.4,16.03
24,F,15.5,16.79
25,F,15.6,14.6
26,H,15.8,12.01
27,H,16.1,11.7
28,C,16.1,14.66
29,C,16.2,12.8
30,C,16.6,12.56
31,C,16.7,13.4
32,C,17.1,15.34
33,F,17.3,14.61
34,F,17.7,11.38
35,F,17.8,13.84
36,H,17.8,14.46
37,H,17.8,17.07
38,H,18.2,14.3
39,C,18.2,15.15
40,C,18.2,18.28
41,C,18.5,8.47
42,F,18.5,18.71
43,H,18.8,14.81
44,C,18.9,10.4
45,C,19.1,14.18
46,F,20.4,16.73
47,C,20.6,17.22
48,C,20.9,16.25
49,H,22.3,16.84
50,H,22.7,21.46
